Order ID,Region,Country
253086650,Asia,Thailand
560285413,Sub-Saharan Africa,Mali
952696883,North America,Mexico
738182389,Middle East and North Africa,Lebanon
194915759,Asia,South Korea
121383321,Middle East and North Africa,United Arab Emirates
486383903,Europe,Georgia
879028832,Sub-Saharan Africa,Guinea-Bissau
958741939,Europe,Georgia
905259549,Sub-Saharan Africa,Malawi
968630492,Middle East and North Africa,Saudi Arabia
119216096,Central America and the Caribbean,Saint Lucia
997690188,Europe,Macedonia
465039098,Sub-Saharan Africa,Rwanda
852561652,Central America and the Caribbean,Dominica
511869180,Middle East and North Africa,Libya
564885509,Sub-Saharan Africa,Angola
853846967,Sub-Saharan Africa,Lesotho
391302382,Sub-Saharan Africa,Mauritius 
510113084,Sub-Saharan Africa,Sudan
813452899,Europe,Slovakia
524808156,Asia,Japan
737977683,Europe,Estonia
367072808,Asia,Laos
196517360,Europe,Belgium
631047666,Asia,Bhutan
345712554,North America,United States of America
335873353,Middle East and North Africa,Egypt
767203891,Europe,Sweden
525690495,Asia,Nepal
367631995,Sub-Saharan Africa,Senegal
669639718,Central America and the Caribbean,Dominican Republic
978637492,Europe,Ukraine
461861646,Sub-Saharan Africa,Comoros
156861007,Sub-Saharan Africa,Benin
721496903,Sub-Saharan Africa,Ethiopia
183943164,Sub-Saharan Africa,Djibouti
692686116,Middle East and North Africa,United Arab Emirates
866524589,Europe,Italy
744569909,Asia,Kazakhstan
436245906,Central America and the Caribbean,The Bahamas
571288907,Middle East and North Africa,Algeria
949747741,Europe,Malta
991983735,Sub-Saharan Africa,Sudan
188670718,Europe,Lithuania
350795018,Sub-Saharan Africa,Lesotho
659655463,Middle East and North Africa,Israel
816863381,Sub-Saharan Africa,Benin
594342601,Sub-Saharan Africa,Burundi
284329450,Central America and the Caribbean,Costa Rica
249372756,Asia,Maldives
472333848,Sub-Saharan Africa,Mauritania
106386554,Sub-Saharan Africa,Liberia
625017201,Australia and Oceania,East Timor
872024619,Europe,Sweden
211520135,Sub-Saharan Africa,Republic of the Congo
777927577,Asia,Uzbekistan
725983273,Middle East and North Africa,Saudi Arabia
980736052,Sub-Saharan Africa,South Africa
287547242,Sub-Saharan Africa,Lesotho
162090671,Asia,Thailand
840352666,Australia and Oceania,Australia
828632056,Central America and the Caribbean,Dominica
953540170,Europe,Monaco
312000834,Middle East and North Africa,Egypt
321250379,Europe,Ireland
668837630,Asia,South Korea
662623918,Asia,Kyrgyzstan
580783069,Sub-Saharan Africa,Benin
321801412,Asia,India
754477775,Sub-Saharan Africa,Burundi
567923486,Asia,Maldives
321562373,Asia,India
195130765,Middle East and North Africa,United Arab Emirates
438677489,Sub-Saharan Africa,Sudan
922563874,Sub-Saharan Africa,Swaziland
687463748,Sub-Saharan Africa,Angola
194363439,Europe,Slovenia
874561774,Asia,North Korea
179670083,Sub-Saharan Africa,Tanzania
131612193,Australia and Oceania,Papua New Guinea
572624433,Asia,Turkmenistan
515255630,Central America and the Caribbean,Grenada
392367112,Europe,Sweden
707132709,Europe,Greece
683038747,Central America and the Caribbean,Costa Rica
513884055,Australia and Oceania,Kiribati
913779962,Asia,Turkmenistan
867150294,Middle East and North Africa,Somalia
778731381,Middle East and North Africa,Saudi Arabia
223572051,Europe,Portugal
197033631,Middle East and North Africa,Iran
864789950,Asia,Cambodia
212827336,Europe,Switzerland
797444617,Central America and the Caribbean,Dominica
295253121,Asia,Kazakhstan
953176677,Asia,Myanmar
138451611,Sub-Saharan Africa,Mauritius 
688626754,Sub-Saharan Africa,Comoros
561563432,Asia,Vietnam
485435473,Sub-Saharan Africa,South Africa
808729207,Central America and the Caribbean,The Bahamas
150243461,Middle East and North Africa,Tunisia 
349089562,Sub-Saharan Africa,South Sudan
614691340,Sub-Saharan Africa,Guinea
676785123,Asia,Vietnam
335419738,Central America and the Caribbean,Grenada
810956513,Central America and the Caribbean,Trinidad and Tobago
694069278,Middle East and North Africa,Israel
895744359,Australia and Oceania,Papua New Guinea
597280585,Middle East and North Africa,Iraq
400289285,Sub-Saharan Africa,Sudan
976694285,Europe,Vatican City
818731915,Europe,Norway
288951003,Europe,Kosovo
270212876,Australia and Oceania,Papua New Guinea
815691363,Middle East and North Africa,Kuwait
698872792,Australia and Oceania,Tuvalu
563555991,Central America and the Caribbean,Nicaragua
673852288,Europe,Croatia
464185512,Central America and the Caribbean,Haiti
789291989,Australia and Oceania,Tuvalu
774220550,Europe,Croatia
964332520,Europe,Czech Republic
175301730,Middle East and North Africa,Egypt
443114507,Sub-Saharan Africa,Sierra Leone
274069678,Sub-Saharan Africa,Rwanda
494778573,Europe,Macedonia
202165019,Europe,Andorra
813465344,Asia,China
216228377,Central America and the Caribbean,Panama
418315446,Australia and Oceania,Tonga
797900378,Europe,Finland
353469502,Sub-Saharan Africa,Senegal
853821647,Asia,Maldives
988068139,Europe,Montenegro
415632808,Sub-Saharan Africa,Guinea
216251981,Sub-Saharan Africa,Lesotho
639974486,Central America and the Caribbean,Dominican Republic
657161653,Middle East and North Africa,Jordan
208487308,Australia and Oceania,Papua New Guinea
654937779,Middle East and North Africa,Libya
727811896,Central America and the Caribbean,Cuba
578720986,Central America and the Caribbean,Saint Kitts and Nevis 
429588878,Europe,Finland
122651898,North America,Greenland
470458877,Europe,Netherlands
105871140,Middle East and North Africa,Kuwait
432062518,Europe,Belgium
672519338,Middle East and North Africa,Egypt
121040427,Central America and the Caribbean,Dominican Republic
391737115,Middle East and North Africa,United Arab Emirates
469033229,Middle East and North Africa,Syria
757665097,Europe,United Kingdom
832681548,Europe,Monaco
789443910,Middle East and North Africa,Syria
793626010,Central America and the Caribbean,Dominica
631214177,Australia and Oceania,Tuvalu
158507239,Europe,Iceland
652116525,Central America and the Caribbean,Antigua and Barbuda 
758965861,Sub-Saharan Africa,Cote d'Ivoire
546291577,Australia and Oceania,Tuvalu
151642501,Sub-Saharan Africa,Mauritius 
232879960,Central America and the Caribbean,El Salvador
618177783,Asia,Maldives
756022298,Australia and Oceania,Australia
165212333,Middle East and North Africa,Iran
684859216,Sub-Saharan Africa,Guinea
624386775,Asia,Japan
613531339,Middle East and North Africa,Kuwait
452341735,Sub-Saharan Africa,Rwanda
461179292,Europe,Slovenia
130717837,Asia,Cambodia
371943700,Middle East and North Africa,Morocco
366155707,Middle East and North Africa,Somalia
714965188,Middle East and North Africa,Azerbaijan
290295970,Europe,Moldova 
284384381,Europe,Italy
159779250,Sub-Saharan Africa,Ghana
799341905,Middle East and North Africa,Israel
456246173,Sub-Saharan Africa,Benin
603978383,Asia,Taiwan
986337363,Sub-Saharan Africa,Mozambique
967434442,Australia and Oceania,Samoa 
881693446,Middle East and North Africa,Afghanistan
683850705,Sub-Saharan Africa,Mauritania
398955047,Sub-Saharan Africa,Mozambique
572367799,Australia and Oceania,Fiji
919762790,Europe,Albania
777126348,Sub-Saharan Africa,South Sudan
450757300,Middle East and North Africa,Egypt
767266976,Europe,Portugal
823579204,Europe,Netherlands
236930310,Sub-Saharan Africa,Democratic Republic of the Congo
494869124,Europe,Albania
905256974,Australia and Oceania,Papua New Guinea
846267688,Asia,Maldives
216387593,Sub-Saharan Africa,Gabon
784415519,North America,Greenland
339462792,Sub-Saharan Africa,Sierra Leone
340953242,Central America and the Caribbean,Costa Rica
968623197,Europe,Hungary
672521483,Europe,Greece
223009431,Central America and the Caribbean,The Bahamas
460760867,Europe,Estonia
946762120,Australia and Oceania,Tonga
412312018,Middle East and North Africa,Egypt
809021890,Europe,Norway
558815562,Sub-Saharan Africa,Kenya
403929364,Asia,Bangladesh
256912124,Europe,France
550625169,Australia and Oceania,Marshall Islands
888242328,Europe,Bosnia and Herzegovina
493249928,Sub-Saharan Africa,Namibia
459446799,Europe,Croatia
600944268,Europe,Norway
802166163,Europe,Croatia
567848813,Sub-Saharan Africa,Sierra Leone
373041045,Europe,Russia
313104188,Europe,Ireland
553712069,Middle East and North Africa,Pakistan
880851018,North America,Canada
250819861,Middle East and North Africa,Qatar
840229928,Asia,Turkmenistan
396005046,Europe,Moldova 
785381543,Middle East and North Africa,Pakistan
345908248,Australia and Oceania,Tuvalu
635446488,Asia,Sri Lanka
582170093,Europe,Finland
534565389,Europe,France
911431205,Middle East and North Africa,Bahrain
851878869,Sub-Saharan Africa,Cote d'Ivoire
465332210,Europe,Hungary
381527554,Europe,Bulgaria
400513732,Middle East and North Africa,Afghanistan
842652070,Europe,Kosovo
298616397,Australia and Oceania,Australia
579393041,Europe,United Kingdom
866280829,Europe,Germany
860891091,Europe,Spain
335147655,Europe,Latvia
481286847,Europe,Italy
761857497,Middle East and North Africa,Lebanon
259720933,Europe,Romania
828050982,Middle East and North Africa,Lebanon
340333974,Europe,Bosnia and Herzegovina
340368735,Asia,Maldives
192266595,Sub-Saharan Africa,Cape Verde
230451381,Sub-Saharan Africa,Ethiopia
409659421,Sub-Saharan Africa,Cape Verde
754939544,Europe,Kosovo
911653077,Central America and the Caribbean,Dominican Republic
595473849,Europe,Monaco
942388188,Australia and Oceania,Federated States of Micronesia
458694922,Central America and the Caribbean,The Bahamas
871005380,Central America and the Caribbean,Barbados
376243388,Sub-Saharan Africa,Burkina Faso
391645276,Europe,Slovakia
604759871,Australia and Oceania,Samoa 
323448503,Asia,Cambodia
725884997,Sub-Saharan Africa,South Sudan
810555684,Sub-Saharan Africa,Chad
546259391,Asia,South Korea
422107446,Europe,Georgia
997523677,Europe,Montenegro
652244412,Asia,Cambodia
536318480,Middle East and North Africa,Lebanon
520107209,Australia and Oceania,Tonga
544284427,Sub-Saharan Africa,Guinea
169836461,Sub-Saharan Africa,Mozambique
828062140,Sub-Saharan Africa,Mauritius 
870572793,Europe,Cyprus
519292247,Europe,Andorra
516456830,North America,Canada
774615371,Europe,Croatia
826629197,Sub-Saharan Africa,The Gambia
275672137,Europe,Greece
145230519,North America,United States of America
629103171,Asia,Philippines
641401422,Sub-Saharan Africa,Chad
966549098,Europe,Netherlands
209282529,Europe,Armenia
644650542,Central America and the Caribbean,Costa Rica
568014466,Central America and the Caribbean,Costa Rica
145048129,Sub-Saharan Africa,Zimbabwe
961737859,Asia,Uzbekistan
174382483,Middle East and North Africa,Afghanistan
859593331,Sub-Saharan Africa,Ghana
764294230,Middle East and North Africa,Jordan
855721509,Europe,Ukraine
371423995,Middle East and North Africa,Pakistan
869263017,Sub-Saharan Africa,Cameroon
377412402,Sub-Saharan Africa,Botswana
144358479,Sub-Saharan Africa,Niger
588900077,Middle East and North Africa,Morocco
850148522,Sub-Saharan Africa,Ethiopia
137527644,Sub-Saharan Africa,Guinea
880773770,Europe,Slovakia
179935729,Europe,Ukraine
155374848,Europe,Georgia
297764956,Sub-Saharan Africa,Sudan
618092381,Sub-Saharan Africa,Swaziland
297655951,North America,Mexico
838066995,Sub-Saharan Africa,Uganda
211249339,Europe,Malta
509439313,Europe,Netherlands
295185744,Sub-Saharan Africa,Central African Republic
451349961,Sub-Saharan Africa,Mauritania
131105792,Sub-Saharan Africa,Madagascar
807939565,Central America and the Caribbean,The Bahamas
425650107,Europe,Kosovo
148348748,Europe,Serbia
310459315,Europe,Lithuania
866718137,Central America and the Caribbean,Panama
942174041,Asia,China
182188355,Europe,Cyprus
102434909,Sub-Saharan Africa,Angola
938900029,Asia,Mongolia
297882544,Asia,Bhutan
805993783,Sub-Saharan Africa,Djibouti
660157573,Australia and Oceania,Papua New Guinea
377610242,Europe,Bulgaria
545900619,Sub-Saharan Africa,Eritrea
472890031,Asia,Thailand
436752307,Sub-Saharan Africa,Equatorial Guinea
335973775,Sub-Saharan Africa,Cote d'Ivoire
139353263,Central America and the Caribbean,Panama
336002099,Sub-Saharan Africa,Uganda
585344111,Europe,Greece
167115628,Sub-Saharan Africa,Cote d'Ivoire
231365478,Asia,Philippines
648454988,Europe,San Marino
459057986,Middle East and North Africa,United Arab Emirates
124160802,Sub-Saharan Africa,Democratic Republic of the Congo
175062263,North America,Canada
763373696,Middle East and North Africa,Tunisia 
311018931,Sub-Saharan Africa,Niger
460234296,Asia,Tajikistan
223568618,Europe,France
933883225,Central America and the Caribbean,Panama
394351947,Europe,Slovenia
528461110,Europe,Denmark
630009543,Australia and Oceania,Federated States of Micronesia
513108575,Asia,China
962182033,Central America and the Caribbean,Panama
581966245,Sub-Saharan Africa,Gabon
747510039,Sub-Saharan Africa,Equatorial Guinea
654174745,Sub-Saharan Africa,Niger
467634189,Sub-Saharan Africa,Burkina Faso
873874700,Sub-Saharan Africa,Malawi
829195106,Asia,Thailand
710206735,Europe,Romania
963833415,Asia,Cambodia
757311475,Sub-Saharan Africa,South Africa
228189742,Europe,United Kingdom
934329545,Europe,Denmark
903904712,Asia,Laos
485401570,Europe,Ireland
997618949,Europe,Czech Republic
679668176,Sub-Saharan Africa,Namibia
540973079,Middle East and North Africa,Pakistan
311269986,Sub-Saharan Africa,Cote d'Ivoire
690607726,Australia and Oceania,Marshall Islands
199347627,Europe,Iceland
128163516,Sub-Saharan Africa,Uganda
488041722,Europe,Cyprus
460281074,Sub-Saharan Africa,Lesotho
646492898,Europe,Hungary
818601024,Europe,Ukraine
368841779,Central America and the Caribbean,Belize
559763991,Middle East and North Africa,United Arab Emirates
474228990,Middle East and North Africa,Oman
165410602,Europe,Poland
206795156,Sub-Saharan Africa,South Africa
342181479,Sub-Saharan Africa,Guinea
835680902,Europe,Denmark
221717250,Asia,Turkmenistan
255026853,Central America and the Caribbean,Saint Kitts and Nevis 
960658538,Sub-Saharan Africa,Republic of the Congo
183973634,Asia,Sri Lanka
340645968,Australia and Oceania,Nauru
766661870,Europe,Armenia
868320167,Europe,Ukraine
572232186,Australia and Oceania,Palau
775321757,Europe,Czech Republic
194825208,Middle East and North Africa,Lebanon
318291366,Central America and the Caribbean,Belize
453581559,Europe,Belgium
878869616,Sub-Saharan Africa,Angola
592641866,Sub-Saharan Africa,Malawi
463697135,Europe,Andorra
981146752,Europe,United Kingdom
904414546,Europe,Georgia
413236844,Europe,Spain
657662475,Asia,South Korea
608052766,Asia,Indonesia
205081546,Sub-Saharan Africa,Mauritius 
809735143,Sub-Saharan Africa,Burundi
253312385,Europe,Bulgaria
487424600,Middle East and North Africa,Tunisia 
833995616,Europe,Poland
235261762,Sub-Saharan Africa,Guinea-Bissau
403771865,Europe,Montenegro
872387254,Central America and the Caribbean,Belize
344281756,Sub-Saharan Africa,Burundi
742941701,Middle East and North Africa,Iraq
462165915,Sub-Saharan Africa,Senegal
216065728,Europe,Liechtenstein
789064967,Sub-Saharan Africa,Tanzania
785899960,Europe,Belarus
681619536,Australia and Oceania,Palau
571585023,Middle East and North Africa,Algeria
621470248,Europe,Spain
617261540,North America,Canada
415257728,Middle East and North Africa,Egypt
392070138,Middle East and North Africa,Qatar
994622600,Sub-Saharan Africa,Uganda
490151441,Europe,Belarus
816205489,Sub-Saharan Africa,South Sudan
830646073,Asia,Indonesia
361647021,Europe,United Kingdom
657694661,Australia and Oceania,Tuvalu
337587821,Europe,Spain
340437829,Australia and Oceania,Samoa 
775668513,Sub-Saharan Africa,Ethiopia
473016202,Asia,India
132529723,Europe,Monaco
974570405,Europe,Portugal
689812076,Australia and Oceania,Vanuatu
189241063,Sub-Saharan Africa,Mauritius 
454156196,Asia,Nepal
286168801,Sub-Saharan Africa,Tanzania
357202708,Sub-Saharan Africa,Benin
959494245,Sub-Saharan Africa,Gabon
655592238,Sub-Saharan Africa,Sudan
328358018,Sub-Saharan Africa,Cameroon
930965411,Middle East and North Africa,Iran
336900746,Middle East and North Africa,Tunisia 
989962852,Middle East and North Africa,Libya
454263055,Middle East and North Africa,Somalia
864225184,Sub-Saharan Africa,Zimbabwe
374585568,Sub-Saharan Africa,Comoros
810393035,Europe,San Marino
917008912,Australia and Oceania,New Zealand
410107028,Europe,Bosnia and Herzegovina
425673711,North America,Mexico
370007789,Asia,Myanmar
169720590,Middle East and North Africa,Turkey
721735942,Sub-Saharan Africa,Ethiopia
743290174,Middle East and North Africa,Algeria
821932113,Europe,Poland
265523087,North America,Canada
252236926,Central America and the Caribbean,Saint Lucia
680559957,Australia and Oceania,Federated States of Micronesia
619291007,Australia and Oceania,Tonga
557541406,Middle East and North Africa,Kuwait
154734981,Europe,Lithuania
490608060,Europe,Denmark
915209472,Asia,Mongolia
398900544,Central America and the Caribbean,Saint Vincent and the Grenadines
682355105,Europe,Monaco
426559484,Sub-Saharan Africa,Comoros
162812507,Middle East and North Africa,Afghanistan
942725503,Europe,Bulgaria
288222301,Asia,Vietnam
741539227,Europe,Slovenia
415225112,Central America and the Caribbean,El Salvador
642141282,Central America and the Caribbean,Belize
125461566,Australia and Oceania,Fiji
788672292,Asia,Myanmar
125572288,Sub-Saharan Africa,Namibia
650272881,Sub-Saharan Africa,Rwanda
447197902,Middle East and North Africa,Libya
821083676,Sub-Saharan Africa,Tanzania
446979033,Middle East and North Africa,Tunisia 
320245301,North America,Greenland
606556308,Europe,Ireland
191898381,Europe,Cyprus
732570350,Europe,Albania
805183541,Asia,North Korea
856661784,Sub-Saharan Africa,Senegal
954241406,Sub-Saharan Africa,Guinea-Bissau
335471236,Europe,Belgium
558212602,Sub-Saharan Africa,Madagascar
550639331,Asia,Indonesia
661237752,Sub-Saharan Africa,Benin
408806693,Sub-Saharan Africa,Equatorial Guinea
732457482,Middle East and North Africa,Iraq
841613948,Europe,Denmark
466012418,Europe,Latvia
305701720,Australia and Oceania,Tuvalu
681043183,Central America and the Caribbean,Guatemala
182710635,Asia,Vietnam
621690404,Europe,Iceland
279281318,Europe,Romania
657094705,Europe,Slovakia
627054393,Sub-Saharan Africa,Sudan
481396710,Asia,Bangladesh
582670485,Central America and the Caribbean,Belize
913737046,Middle East and North Africa,Oman
627770221,Australia and Oceania,Nauru
298256337,Sub-Saharan Africa,Cameroon
568994224,Sub-Saharan Africa,Comoros
804095208,Middle East and North Africa,Morocco
437983119,Sub-Saharan Africa,Ghana
325394284,Sub-Saharan Africa,Nigeria
491377532,Europe,Belarus
581294190,Sub-Saharan Africa,South Sudan
310818088,Sub-Saharan Africa,Democratic Republic of the Congo
815935552,Sub-Saharan Africa,Sierra Leone
602945411,Sub-Saharan Africa,Cote d'Ivoire
498458993,Central America and the Caribbean,Haiti
499400126,Middle East and North Africa,Qatar
223005139,Middle East and North Africa,Bahrain
256822860,Europe,Lithuania
808714616,Sub-Saharan Africa,Namibia
356854236,Sub-Saharan Africa,Cape Verde
599728047,Middle East and North Africa,Algeria
606134879,Sub-Saharan Africa,Gabon
865186059,Australia and Oceania,Kiribati
136305415,Europe,United Kingdom
399229276,Middle East and North Africa,Qatar
104006469,Middle East and North Africa,Bahrain
920998322,Europe,Denmark
990878665,Asia,Taiwan
774633824,Sub-Saharan Africa,Malawi
803562629,Asia,North Korea
329276406,Europe,Moldova 
473698985,Sub-Saharan Africa,Swaziland
179066693,Europe,Albania
257928359,Sub-Saharan Africa,Mauritania
243145310,Central America and the Caribbean,Panama
637891376,Middle East and North Africa,Syria
665652883,Asia,South Korea
520228660,Sub-Saharan Africa,Seychelles 
915730035,Europe,France
836580836,Central America and the Caribbean,Dominican Republic
687517392,Central America and the Caribbean,Antigua and Barbuda 
943588531,Central America and the Caribbean,Grenada
800155580,Australia and Oceania,Solomon Islands
422892367,Europe,Czech Republic
497785222,Middle East and North Africa,Iran
881132972,Europe,Montenegro
149546945,Australia and Oceania,Kiribati
549950969,Sub-Saharan Africa,Sierra Leone
349581372,Europe,Cyprus
585986983,Sub-Saharan Africa,Lesotho
117029130,Central America and the Caribbean,Nicaragua
570881640,Central America and the Caribbean,Haiti
496030843,Europe,Liechtenstein
311275565,Asia,Indonesia
955727136,Europe,Norway
738809382,Australia and Oceania,Samoa 
290258634,Sub-Saharan Africa,Mozambique
310123717,Central America and the Caribbean,Guatemala
218765962,Sub-Saharan Africa,Mauritius 
406859195,Europe,Georgia
885389745,Australia and Oceania,Tuvalu
835656440,Sub-Saharan Africa,Togo
859270608,Asia,Uzbekistan
728156077,Middle East and North Africa,Bahrain
734549176,Europe,Bulgaria
340998733,Europe,Cyprus
430366075,Sub-Saharan Africa,Mauritania
155825030,Sub-Saharan Africa,Malawi
990861928,Middle East and North Africa,Jordan
879275596,Europe,Andorra
985177361,Middle East and North Africa,Tunisia 
742991054,Sub-Saharan Africa,Burkina Faso
107453000,Asia,Indonesia
903612029,Middle East and North Africa,Iran
976829469,Sub-Saharan Africa,Sao Tome and Principe
942779147,Middle East and North Africa,Lebanon
137447392,Middle East and North Africa,Tunisia 
667133033,Europe,Malta
658447396,Asia,India
108314311,Sub-Saharan Africa,Guinea-Bissau
433970105,Middle East and North Africa,Syria
422963607,Europe,Malta
283156144,Middle East and North Africa,Jordan
292721545,Sub-Saharan Africa,Malawi
350146138,Europe,Macedonia
424228751,Central America and the Caribbean,Dominica
104080712,Sub-Saharan Africa,Equatorial Guinea
849125850,Sub-Saharan Africa,Central African Republic
139100492,Middle East and North Africa,Israel
924053466,Europe,Croatia
374346101,Asia,Malaysia
230652225,Sub-Saharan Africa,Seychelles 
953958165,Australia and Oceania,Federated States of Micronesia
375562751,Asia,Brunei
447077310,Central America and the Caribbean,Haiti
490425670,Sub-Saharan Africa,Central African Republic
347844159,Asia,Taiwan
831881606,Asia,Nepal
575399339,Sub-Saharan Africa,The Gambia
981571185,Central America and the Caribbean,Jamaica
373883473,Asia,Myanmar
746135032,Australia and Oceania,New Zealand
112437188,Sub-Saharan Africa,Zimbabwe
157213771,Asia,Indonesia
385201108,Europe,Andorra
371448028,Asia,Cambodia
211315858,Europe,Slovakia
970478427,Europe,Estonia
634922063,Asia,Myanmar
860945594,Sub-Saharan Africa,Botswana
225160348,Sub-Saharan Africa,Swaziland
974490153,Australia and Oceania,Marshall Islands
476171338,Australia and Oceania,Fiji
667752730,Europe,Denmark
407095658,Europe,Ukraine
422373950,Middle East and North Africa,Turkey
162073934,Middle East and North Africa,Lebanon
944994437,Europe,Liechtenstein
110246789,Sub-Saharan Africa,Lesotho
467254817,Sub-Saharan Africa,Burundi
845754849,Europe,Croatia
145795714,Europe,Armenia
487738740,Asia,Nepal
462257754,Central America and the Caribbean,Nicaragua
980339086,Sub-Saharan Africa,Botswana
323281562,Europe,Latvia
892696511,Sub-Saharan Africa,Senegal
660507762,Europe,Sweden
818951642,Sub-Saharan Africa,Burundi
830576980,Asia,Turkmenistan
678245103,Europe,Romania
415129840,Sub-Saharan Africa,Comoros
614717519,Sub-Saharan Africa,Gabon
120806968,Sub-Saharan Africa,Uganda
997509515,Europe,France
879248988,Central America and the Caribbean,Saint Vincent and the Grenadines
620761716,Europe,Austria
247096526,Asia,Tajikistan
303614747,Sub-Saharan Africa,Swaziland
505990207,Sub-Saharan Africa,Eritrea
190209233,Sub-Saharan Africa,Central African Republic
562570655,Middle East and North Africa,Israel
649685800,Europe,Switzerland
448478496,Europe,Ireland
476185071,Europe,Ireland
420354354,Europe,Spain
488847672,Central America and the Caribbean,Haiti
959838855,Australia and Oceania,Samoa 
831814229,Sub-Saharan Africa,Ethiopia
973572623,Europe,San Marino
974225366,Central America and the Caribbean,El Salvador
493196284,Australia and Oceania,Kiribati
610221707,Middle East and North Africa,Libya
675350463,Europe,United Kingdom
558943879,Sub-Saharan Africa,South Sudan
201675784,Sub-Saharan Africa,Benin
964532506,Middle East and North Africa,Bahrain
678812873,Asia,Japan
396128213,Sub-Saharan Africa,Seychelles 
338402354,Central America and the Caribbean,Belize
347871625,Asia,Cambodia
337084853,Europe,Monaco
738903367,Australia and Oceania,Federated States of Micronesia
256500995,Asia,Kyrgyzstan
813364064,Middle East and North Africa,Israel
803291404,Asia,Tajikistan
940394341,North America,Mexico
209096705,North America,Greenland
814134824,Asia,Laos
530557525,Europe,Slovenia
353726136,Asia,Kyrgyzstan
449314486,Europe,Lithuania
603308904,Asia,Malaysia
672008216,Australia and Oceania,Palau
132023751,Sub-Saharan Africa,Togo
330279338,Asia,Mongolia
434011304,Central America and the Caribbean,Grenada
580768477,Australia and Oceania,Kiribati
528412187,Europe,Russia
105116260,Australia and Oceania,New Zealand
559367024,Asia,Kyrgyzstan
509963309,Sub-Saharan Africa,Mozambique
896016442,Middle East and North Africa,Iraq
926950252,Europe,Poland
332501065,Sub-Saharan Africa,Sierra Leone
712717711,Asia,India
587961518,Europe,Moldova 
348906314,Australia and Oceania,Papua New Guinea
906538426,Europe,Macedonia
542156684,Australia and Oceania,Nauru
757372415,Central America and the Caribbean,Nicaragua
